"","x","y","z","omega","katsse","akev","possture"
"288","311","-1450","600","4.095081","0","0","walk"
"289","-61","-1521","492","20.357752","0","0","walk"
"290","39","-1488","494","27.068305","0","0","walk"
"291","615","-1425","595","14.959042","0","0","walk"
"292","248","-1444","643","5.015773","0","0","walk"
"293","3","-1469","455","23.49835","0","0","walk"
"294","22","-1482","492","3.779194","0","0","walk"
"295","415","-1357","625","14.580342","0","0","walk"
"296","-40","-1585","536","13.514601","0","0","walk"
"297","73","-1492","583","5.237673","0","0","walk"
"298","65","-1476","568","0.677895","0","0","walk"
"299","51","-1480","689","1.469699","0","0","walk"
"300","60","-1476","568","0.613655","0","0","walk"
"301","56","-1481","566","0.90658","0","0","walk"
"302","39","-1479","567","0","0","0","walk"
"303","33","-1480","575","0","0","0","walk"
"304","48","-1477","566","0.426457","0","0","walk"
"305","35","-1480","567","0.86568","0","0","walk"
"306","56","-1487","472","2.07801","0","0","walk"
"307","220","-1473","606","4.096182","0","0","walk"
"308","108","-1508","448","24.519757","0","0","walk"
"309","387","-1329","547","15.140316","0","0","walk"
"310","-1","-1473","519","9.824548","0","0","walk"
"311","152","-1458","478","21.6106","0","0","walk"
"312","320","-1561","579","15.724669","0","0","walk"
"313","-36","-1492","560","2.969586","0","0","walk"
"314","96","-1464","479","6.086049","0","0","walk"
"315","464","-1696","563","17.406147","0","0","walk"
"316","313","-1444","551","6.670293","0","0","walk"
"317","-20","-1492","486","18.294705","0","0","walk"
"318","259","-1433","496","19.849401","0","0","walk"
"319","198","-1455","633","7.964412","0","0","walk"
"320","33","-1476","606","7.484597","0","0","walk"
"321","19","-1482","592","1.224232","0","0","walk"
"322","30","-1480","591","1.1903","0","0","walk"
"323","56","-1479","575","0.616807","0","0","walk"
"324","55","-1484","575","1.339112","0","0","walk"
"325","143","-1457","520","4.14983","0","0","walk"
"326","115","-1465","499","1.911574","0","0","walk"
"327","28","-1487","472","2.829842","0","0","walk"
"328","391","-1351","540","11.377466","0","0","walk"
"329","17","-1457","601","7.395018","0","0","walk"
"330","9","-1465","487","5.494636","0","0","walk"
"331","320","-1394","568","10.348502","0","0","walk"
"332","88","-1469","401","12.39054","0","0","walk"
"333","-42","-1509","492","3.350423","0","0","walk"
"334","63","-1394","599","9.029962","0","0","walk"
"335","254","-1473","632","6.732827","0","0","walk"
"336","0","-1517","438","9.760731","0","0","walk"
